,name,artist,colourid,colour,collectornum,expansion,hexval,red_h,green_h,blue_h,codename
41,Conclave Equenaut,Terese Nielsen,['W'],['W'],9,RAV,#6E7346,110,115,70,Conclave EquenautRAV2
42,Conclave Equenaut,Terese Nielsen,['W'],['W'],9,RAV,#D9C252,217,194,82,Conclave EquenautRAV3
43,Conclave Equenaut,Terese Nielsen,['W'],['W'],9,RAV,#261B0E,38,27,14,Conclave EquenautRAV4
44,Conclave Equenaut,Terese Nielsen,['W'],['W'],9,RAV,#734319,115,67,25,Conclave EquenautRAV5
45,Conclave Phalanx,Wayne Reynolds,['W'],['W'],10,RAV,#555931,85,89,49,Conclave PhalanxRAV1
46,Conclave Phalanx,Wayne Reynolds,['W'],['W'],10,RAV,#D3D9A9,211,217,169,Conclave PhalanxRAV2
47,Conclave Phalanx,Wayne Reynolds,['W'],['W'],10,RAV,#A3A65D,163,166,93,Conclave PhalanxRAV3
48,Conclave Phalanx,Wayne Reynolds,['W'],['W'],10,RAV,#F2EDD5,242,237,213,Conclave PhalanxRAV4
49,Conclave Phalanx,Wayne Reynolds,['W'],['W'],10,RAV,#262014,38,32,20,Conclave PhalanxRAV5
50,Conclave's Blessing,Shishizaru,['W'],['W'],11,RAV,#262312,38,35,18,Conclave's BlessingRAV1
51,Conclave's Blessing,Shishizaru,['W'],['W'],11,RAV,#595336,89,83,54,Conclave's BlessingRAV2
52,Conclave's Blessing,Shishizaru,['W'],['W'],11,RAV,#F2DBAE,242,219,174,Conclave's BlessingRAV3
53,Conclave's Blessing,Shishizaru,['W'],['W'],11,RAV,#D9AE79,217,174,121,Conclave's BlessingRAV4
54,Conclave's Blessing,Shishizaru,['W'],['W'],11,RAV,#A66832,166,104,50,Conclave's BlessingRAV5
55,Courier Hawk,Mark Poole,['W'],['W'],12,RAV,#748C4F,116,140,79,Courier HawkRAV1
56,Courier Hawk,Mark Poole,['W'],['W'],12,RAV,#F2D8A7,242,216,167,Courier HawkRAV2
57,Courier Hawk,Mark Poole,['W'],['W'],12,RAV,#BFA98E,191,169,142,Courier HawkRAV3
58,Courier Hawk,Mark Poole,['W'],['W'],12,RAV,#8C4318,140,67,24,Courier HawkRAV4
59,Courier Hawk,Mark Poole,['W'],['W'],12,RAV,#8C7070,140,112,112,Courier HawkRAV5
60,Devouring Light,Pete Venters,['W'],['W'],13,RAV,#F2CA50,242,202,80,Devouring LightRAV1
61,Devouring Light,Pete Venters,['W'],['W'],13,RAV,#F2DEA0,242,222,160,Devouring LightRAV2
62,Devouring Light,Pete Venters,['W'],['W'],13,RAV,#D99E32,217,158,50,Devouring LightRAV3
63,Devouring Light,Pete Venters,['W'],['W'],13,RAV,#261308,38,19,8,Devouring LightRAV4
64,Devouring Light,Pete Venters,['W'],['W'],13,RAV,#A62C21,166,44,33,Devouring LightRAV5
65,Divebomber Griffin,Kev Walker,['W'],['W'],14,RAV,#C1D0D9,193,208,217,Divebomber GriffinRAV1
66,Divebomber Griffin,Kev Walker,['W'],['W'],14,RAV,#F2EDD0,242,237,208,Divebomber GriffinRAV2
67,Divebomber Griffin,Kev Walker,['W'],['W'],14,RAV,#BFAA84,191,170,132,Divebomber GriffinRAV3
68,Divebomber Griffin,Kev Walker,['W'],['W'],14,RAV,#59402A,89,64,42,Divebomber GriffinRAV4
69,Divebomber Griffin,Kev Walker,['W'],['W'],14,RAV,#261210,38,18,16,Divebomber GriffinRAV5
70,Dromad Purebred,Carl Critchlow,['W'],['W'],15,RAV,#D9CA9C,217,202,156,Dromad PurebredRAV1
71,Dromad Purebred,Carl Critchlow,['W'],['W'],15,RAV,#F2BF5E,242,191,94,Dromad PurebredRAV2
72,Dromad Purebred,Carl Critchlow,['W'],['W'],15,RAV,#D9984A,217,152,74,Dromad PurebredRAV3
73,Dromad Purebred,Carl Critchlow,['W'],['W'],15,RAV,#BF6836,191,104,54,Dromad PurebredRAV4
74,Dromad Purebred,Carl Critchlow,['W'],['W'],15,RAV,#401D15,64,29,21,Dromad PurebredRAV5
75,Faith's Fetters,Chippy,['W'],['W'],16,RAV,#090D07,9,13,7,Faith's FettersRAV1
76,Faith's Fetters,Chippy,['W'],['W'],16,RAV,#A6A053,166,160,83,Faith's FettersRAV2
77,Faith's Fetters,Chippy,['W'],['W'],16,RAV,#8C8146,140,129,70,Faith's FettersRAV3
78,Faith's Fetters,Chippy,['W'],['W'],16,RAV,#403925,64,57,37,Faith's FettersRAV4
79,Faith's Fetters,Chippy,['W'],['W'],16,RAV,#BF5B21,191,91,33,Faith's FettersRAV5
80,Festival of the Guildpact,Alex Horley-Orlandelli,['W'],['W'],17,RAV,#7C568C,124,86,140,Festival of the GuildpactRAV1
81,Festival of the Guildpact,Alex Horley-Orlandelli,['W'],['W'],17,RAV,#8E90BF,142,144,191,Festival of the GuildpactRAV2
82,Festival of the Guildpact,Alex Horley-Orlandelli,['W'],['W'],17,RAV,#99D0F2,153,208,242,Festival of the GuildpactRAV3
83,Festival of the Guildpact,Alex Horley-Orlandelli,['W'],['W'],17,RAV,#F2A679,242,166,121,Festival of the GuildpactRAV4
84,Festival of the Guildpact,Alex Horley-Orlandelli,['W'],['W'],17,RAV,#A64029,166,64,41,Festival of the GuildpactRAV5
85,Flickerform,Ron Spears,['W'],['W'],18,RAV,#496D8C,73,109,140,FlickerformRAV1
86,Flickerform,Ron Spears,['W'],['W'],18,RAV,#CBD9AD,203,217,173,FlickerformRAV2
87,Flickerform,Ron Spears,['W'],['W'],18,RAV,#D9C148,217,193,72,FlickerformRAV3
88,Flickerform,Ron Spears,['W'],['W'],18,RAV,#8C5D23,140,93,35,FlickerformRAV4
89,Flickerform,Ron Spears,['W'],['W'],18,RAV,#8C4014,140,64,20,FlickerformRAV5
90,Gate Hound,Ralph Horsley,['W'],['W'],19,RAV,#BFAF5E,191,175,94,Gate HoundRAV1
91,Gate Hound,Ralph Horsley,['W'],['W'],19,RAV,#BF8F54,191,143,84,Gate HoundRAV2
92,Gate Hound,Ralph Horsley,['W'],['W'],19,RAV,#A66B38,166,107,56,Gate HoundRAV3
93,Gate Hound,Ralph Horsley,['W'],['W'],19,RAV,#593E25,89,62,37,Gate HoundRAV4
94,Gate Hound,Ralph Horsley,['W'],['W'],19,RAV,#261C14,38,28,20,Gate HoundRAV5
95,Ghosts of the Innocent,Kev Walker,['W'],['W'],20,RAV,#121526,18,21,38,Ghosts of the InnocentRAV1
96,Ghosts of the Innocent,Kev Walker,['W'],['W'],20,RAV,#BCBF56,188,191,86,Ghosts of the InnocentRAV2
97,Ghosts of the Innocent,Kev Walker,['W'],['W'],20,RAV,#D6D97E,214,217,126,Ghosts of the InnocentRAV3
98,Ghosts of the Innocent,Kev Walker,['W'],['W'],20,RAV,#A69B63,166,155,99,Ghosts of the InnocentRAV4
99,Ghosts of the Innocent,Kev Walker,['W'],['W'],20,RAV,#F2EBC9,242,235,201,Ghosts of the InnocentRAV5
100,Hour of Reckoning,Randy Gallegos,['W'],['W'],21,RAV,#ECD8F2,236,216,242,Hour of ReckoningRAV1
101,Hour of Reckoning,Randy Gallegos,['W'],['W'],21,RAV,#6258A6,98,88,166,Hour of ReckoningRAV2
102,Hour of Reckoning,Randy Gallegos,['W'],['W'],21,RAV,#8280BF,130,128,191,Hour of ReckoningRAV3
103,Hour of Reckoning,Randy Gallegos,['W'],['W'],21,RAV,#F2E5BD,242,229,189,Hour of ReckoningRAV4
104,Hour of Reckoning,Randy Gallegos,['W'],['W'],21,RAV,#A67951,166,121,81,Hour of ReckoningRAV5
105,Hunted Lammasu,Mark Zug,['W'],['W'],22,RAV,#A68A37,166,138,55,Hunted LammasuRAV1
106,Hunted Lammasu,Mark Zug,['W'],['W'],22,RAV,#BFB8AA,191,184,170,Hunted LammasuRAV2
107,Hunted Lammasu,Mark Zug,['W'],['W'],22,RAV,#BFA380,191,163,128,Hunted LammasuRAV3
108,Hunted Lammasu,Mark Zug,['W'],['W'],22,RAV,#8C715A,140,113,90,Hunted LammasuRAV4
109,Hunted Lammasu,Mark Zug,['W'],['W'],22,RAV,#40372F,64,55,47,Hunted LammasuRAV5
110,Leave No Trace,Pat Lee,['W'],['W'],23,RAV,#D9CF9C,217,207,156,Leave No TraceRAV1
111,Leave No Trace,Pat Lee,['W'],['W'],23,RAV,#F2ECCE,242,236,206,Leave No TraceRAV2
112,Leave No Trace,Pat Lee,['W'],['W'],23,RAV,#A68F65,166,143,101,Leave No TraceRAV3
113,Leave No Trace,Pat Lee,['W'],['W'],23,RAV,#261B0E,38,27,14,Leave No TraceRAV4
114,Leave No Trace,Pat Lee,['W'],['W'],23,RAV,#8C7354,140,115,84,Leave No TraceRAV5
115,Light of Sanction,Michael Phillippi,['W'],['W'],24,RAV,#4E7329,78,115,41,Light of SanctionRAV1
116,Light of Sanction,Michael Phillippi,['W'],['W'],24,RAV,#D9D382,217,211,130,Light of SanctionRAV2
117,Light of Sanction,Michael Phillippi,['W'],['W'],24,RAV,#D9AF62,217,175,98,Light of SanctionRAV3
118,Light of Sanction,Michael Phillippi,['W'],['W'],24,RAV,#A67A44,166,122,68,Light of SanctionRAV4
119,Light of Sanction,Michael Phillippi,['W'],['W'],24,RAV,#59381B,89,56,27,Light of SanctionRAV5
120,Loxodon Gatekeeper,Carl Critchlow,['W'],['W'],25,RAV,#F2E9BD,242,233,189,Loxodon GatekeeperRAV1
121,Loxodon Gatekeeper,Carl Critchlow,['W'],['W'],25,RAV,#F2C166,242,193,102,Loxodon GatekeeperRAV2
122,Loxodon Gatekeeper,Carl Critchlow,['W'],['W'],25,RAV,#D99F59,217,159,89,Loxodon GatekeeperRAV3
123,Loxodon Gatekeeper,Carl Critchlow,['W'],['W'],25,RAV,#8C7B65,140,123,101,Loxodon GatekeeperRAV4
124,Loxodon Gatekeeper,Carl Critchlow,['W'],['W'],25,RAV,#26201D,38,32,29,Loxodon GatekeeperRAV5
125,Nightguard Patrol,Dany Orizio,['W'],['W'],26,RAV,#8C5178,140,81,120,Nightguard PatrolRAV1
126,Nightguard Patrol,Dany Orizio,['W'],['W'],26,RAV,#513259,81,50,89,Nightguard PatrolRAV2
127,Nightguard Patrol,Dany Orizio,['W'],['W'],26,RAV,#D9B596,217,181,150,Nightguard PatrolRAV3
128,Nightguard Patrol,Dany Orizio,['W'],['W'],26,RAV,#BF5841,191,88,65,Nightguard PatrolRAV4
129,Nightguard Patrol,Dany Orizio,['W'],['W'],26,RAV,#73261F,115,38,31,Nightguard PatrolRAV5
130,Oathsworn Giant,Daren Bader,['W'],['W'],27,RAV,#F2C46D,242,196,109,Oathsworn GiantRAV1
131,Oathsworn Giant,Daren Bader,['W'],['W'],27,RAV,#F2B872,242,184,114,Oathsworn GiantRAV2
132,Oathsworn Giant,Daren Bader,['W'],['W'],27,RAV,#D96A29,217,106,41,Oathsworn GiantRAV3
133,Oathsworn Giant,Daren Bader,['W'],['W'],27,RAV,#59210C,89,33,12,Oathsworn GiantRAV4
134,Oathsworn Giant,Daren Bader,['W'],['W'],27,RAV,#BF4B21,191,75,33,Oathsworn GiantRAV5
135,Sandsower,Kev Walker,['W'],['W'],28,RAV,#635873,99,88,115,SandsowerRAV1
136,Sandsower,Kev Walker,['W'],['W'],28,RAV,#7E77A6,126,119,166,SandsowerRAV2
137,Sandsower,Kev Walker,['W'],['W'],28,RAV,#9E99BF,158,153,191,SandsowerRAV3
138,Sandsower,Kev Walker,['W'],['W'],28,RAV,#D5DCF2,213,220,242,SandsowerRAV4
139,Sandsower,Kev Walker,['W'],['W'],28,RAV,#261B0E,38,27,14,SandsowerRAV5
140,Screeching Griffin,Tim Hildebrandt,"['R', 'W']",['W'],29,RAV,#592E3A,89,46,58,Screeching GriffinRAV1
141,Screeching Griffin,Tim Hildebrandt,"['R', 'W']",['W'],29,RAV,#D98D62,217,141,98,Screeching GriffinRAV2
142,Screeching Griffin,Tim Hildebrandt,"['R', 'W']",['W'],29,RAV,#D9704A,217,112,74,Screeching GriffinRAV3
143,Screeching Griffin,Tim Hildebrandt,"['R', 'W']",['W'],29,RAV,#BF3F34,191,63,52,Screeching GriffinRAV4
144,Screeching Griffin,Tim Hildebrandt,"['R', 'W']",['W'],29,RAV,#8C3030,140,48,48,Screeching GriffinRAV5
145,Seed Spark,Jeff Miracola,"['G', 'W']",['W'],30,RAV,#BCBF65,188,191,101,Seed SparkRAV1
146,Seed Spark,Jeff Miracola,"['G', 'W']",['W'],30,RAV,#BF7534,191,117,52,Seed SparkRAV2
147,Seed Spark,Jeff Miracola,"['G', 'W']",['W'],30,RAV,#D9601A,217,96,26,Seed SparkRAV3
148,Seed Spark,Jeff Miracola,"['G', 'W']",['W'],30,RAV,#261207,38,18,7,Seed SparkRAV4
149,Seed Spark,Jeff Miracola,"['G', 'W']",['W'],30,RAV,#A6411C,166,65,28,Seed SparkRAV5
150,Suppression Field,John Avon,['W'],['W'],31,RAV,#282C40,40,44,64,Suppression FieldRAV1
151,Suppression Field,John Avon,['W'],['W'],31,RAV,#394873,57,72,115,Suppression FieldRAV2
152,Suppression Field,John Avon,['W'],['W'],31,RAV,#7292A6,114,146,166,Suppression FieldRAV3
153,Suppression Field,John Avon,['W'],['W'],31,RAV,#B8D5D9,184,213,217,Suppression FieldRAV4
154,Suppression Field,John Avon,['W'],['W'],31,RAV,#A7D9D9,167,217,217,Suppression FieldRAV5
155,Three Dreams,Shishizaru,['W'],['W'],32,RAV,#A64166,166,65,102,Three DreamsRAV1
156,Three Dreams,Shishizaru,['W'],['W'],32,RAV,#8688A6,134,136,166,Three DreamsRAV2
157,Three Dreams,Shishizaru,['W'],['W'],32,RAV,#BBD8F2,187,216,242,Three DreamsRAV3
158,Three Dreams,Shishizaru,['W'],['W'],32,RAV,#A67449,166,116,73,Three DreamsRAV4
159,Three Dreams,Shishizaru,['W'],['W'],32,RAV,#8C7870,140,120,112,Three DreamsRAV5
160,Twilight Drover,Dave Allsop,['W'],['W'],33,RAV,#4960A6,73,96,166,Twilight DroverRAV1
161,Twilight Drover,Dave Allsop,['W'],['W'],33,RAV,#2A3659,42,54,89,Twilight DroverRAV2
162,Twilight Drover,Dave Allsop,['W'],['W'],33,RAV,#3B568C,59,86,140,Twilight DroverRAV3
163,Twilight Drover,Dave Allsop,['W'],['W'],33,RAV,#9CBCD9,156,188,217,Twilight DroverRAV4
164,Twilight Drover,Dave Allsop,['W'],['W'],33,RAV,#9FB9BF,159,185,191,Twilight DroverRAV5
165,Veteran Armorer,Ralph Horsley,['W'],['W'],34,RAV,#D9B95B,217,185,91,Veteran ArmorerRAV1
166,Veteran Armorer,Ralph Horsley,['W'],['W'],34,RAV,#D9B26A,217,178,106,Veteran ArmorerRAV2
167,Veteran Armorer,Ralph Horsley,['W'],['W'],34,RAV,#261C14,38,28,20,Veteran ArmorerRAV3
168,Veteran Armorer,Ralph Horsley,['W'],['W'],34,RAV,#8C5230,140,82,48,Veteran ArmorerRAV4
169,Veteran Armorer,Ralph Horsley,['W'],['W'],34,RAV,#592A19,89,42,25,Veteran ArmorerRAV5
170,Votary of the Conclave,Alan Pollack,"['G', 'W']",['W'],35,RAV,#F2C84B,242,200,75,Votary of the ConclaveRAV1
171,Votary of the Conclave,Alan Pollack,"['G', 'W']",['W'],35,RAV,#D9A23D,217,162,61,Votary of the ConclaveRAV2
172,Votary of the Conclave,Alan Pollack,"['G', 'W']",['W'],35,RAV,#BF7D2C,191,125,44,Votary of the ConclaveRAV3
173,Votary of the Conclave,Alan Pollack,"['G', 'W']",['W'],35,RAV,#8C7C6D,140,124,109,Votary of the ConclaveRAV4
174,Votary of the Conclave,Alan Pollack,"['G', 'W']",['W'],35,RAV,#733E1F,115,62,31,Votary of the ConclaveRAV5
175,Wojek Apothecary,Keith Garletts,['W'],['W'],36,RAV,#5D4D73,93,77,115,Wojek ApothecaryRAV1
176,Wojek Apothecary,Keith Garletts,['W'],['W'],36,RAV,#403521,64,53,33,Wojek ApothecaryRAV2
177,Wojek Apothecary,Keith Garletts,['W'],['W'],36,RAV,#D9985F,217,152,95,Wojek ApothecaryRAV3
178,Wojek Apothecary,Keith Garletts,['W'],['W'],36,RAV,#A61F12,166,31,18,Wojek ApothecaryRAV4
179,Wojek Apothecary,Keith Garletts,['W'],['W'],36,RAV,#BF5349,191,83,73,Wojek ApothecaryRAV5
180,Wojek Siren,Zoltan Boros & Gabor Szikszai,['W'],['W'],37,RAV,#F2D888,242,216,136,Wojek SirenRAV1
181,Wojek Siren,Zoltan Boros & Gabor Szikszai,['W'],['W'],37,RAV,#D9631E,217,99,30,Wojek SirenRAV2
182,Wojek Siren,Zoltan Boros & Gabor Szikszai,['W'],['W'],37,RAV,#BF2C0B,191,44,11,Wojek SirenRAV3
183,Wojek Siren,Zoltan Boros & Gabor Szikszai,['W'],['W'],37,RAV,#73200E,115,32,14,Wojek SirenRAV4
184,Wojek Siren,Zoltan Boros & Gabor Szikszai,['W'],['W'],37,RAV,#40160D,64,22,13,Wojek SirenRAV5
185,Belltower Sphinx,Jim Nelson,['U'],['U'],38,RAV,#202840,32,40,64,Belltower SphinxRAV1
186,Belltower Sphinx,Jim Nelson,['U'],['U'],38,RAV,#404959,64,73,89,Belltower SphinxRAV2
187,Belltower Sphinx,Jim Nelson,['U'],['U'],38,RAV,#A69E8F,166,158,143,Belltower SphinxRAV3
188,Belltower Sphinx,Jim Nelson,['U'],['U'],38,RAV,#A6A29F,166,162,159,Belltower SphinxRAV4
189,Belltower Sphinx,Jim Nelson,['U'],['U'],38,RAV,#0D0D0D,13,13,13,Belltower SphinxRAV5
190,Cerulean Sphinx,Jim Murray,['U'],['U'],39,RAV,#9488BF,148,136,191,Cerulean SphinxRAV1
191,Cerulean Sphinx,Jim Murray,['U'],['U'],39,RAV,#DFDCF2,223,220,242,Cerulean SphinxRAV2
192,Cerulean Sphinx,Jim Murray,['U'],['U'],39,RAV,#F2C572,242,197,114,Cerulean SphinxRAV3
193,Cerulean Sphinx,Jim Murray,['U'],['U'],39,RAV,#F2B66D,242,182,109,Cerulean SphinxRAV4
194,Cerulean Sphinx,Jim Murray,['U'],['U'],39,RAV,#592816,89,40,22,Cerulean SphinxRAV5
195,Compulsive Research,Michael Sutfin,['U'],['U'],40,RAV,#5684BF,86,132,191,Compulsive ResearchRAV1
196,Compulsive Research,Michael Sutfin,['U'],['U'],40,RAV,#BF9D36,191,157,54,Compulsive ResearchRAV2
197,Compulsive Research,Michael Sutfin,['U'],['U'],40,RAV,#D9A566,217,165,102,Compulsive ResearchRAV3
198,Compulsive Research,Michael Sutfin,['U'],['U'],40,RAV,#A62424,166,36,36,Compulsive ResearchRAV4
199,Compulsive Research,Michael Sutfin,['U'],['U'],40,RAV,#591818,89,24,24,Compulsive ResearchRAV5
200,Convolute,Dany Orizio,['U'],['U'],41,RAV,#5872A6,88,114,166,ConvoluteRAV1
201,Convolute,Dany Orizio,['U'],['U'],41,RAV,#9AC1D9,154,193,217,ConvoluteRAV2
202,Convolute,Dany Orizio,['U'],['U'],41,RAV,#D9D04E,217,208,78,ConvoluteRAV3
203,Convolute,Dany Orizio,['U'],['U'],41,RAV,#BFBA6B,191,186,107,ConvoluteRAV4
204,Convolute,Dany Orizio,['U'],['U'],41,RAV,#8C6535,140,101,53,ConvoluteRAV5
205,Copy Enchantment,Joel Thomas,['U'],['U'],42,RAV,#948EBF,148,142,191,Copy EnchantmentRAV1
206,Copy Enchantment,Joel Thomas,['U'],['U'],42,RAV,#BDB8D9,189,184,217,Copy EnchantmentRAV2
207,Copy Enchantment,Joel Thomas,['U'],['U'],42,RAV,#3C3B59,60,59,89,Copy EnchantmentRAV3
208,Copy Enchantment,Joel Thomas,['U'],['U'],42,RAV,#252617,37,38,23,Copy EnchantmentRAV4
209,Copy Enchantment,Joel Thomas,['U'],['U'],42,RAV,#D9C27E,217,194,126,Copy EnchantmentRAV5
210,Dizzy Spell,Christopher Moeller,['U'],['U'],43,RAV,#919CD9,145,156,217,Dizzy SpellRAV1
211,Dizzy Spell,Christopher Moeller,['U'],['U'],43,RAV,#BBC8F2,187,200,242,Dizzy SpellRAV2
212,Dizzy Spell,Christopher Moeller,['U'],['U'],43,RAV,#D5DCF2,213,220,242,Dizzy SpellRAV3
213,Dizzy Spell,Christopher Moeller,['U'],['U'],43,RAV,#262014,38,32,20,Dizzy SpellRAV4
214,Dizzy Spell,Christopher Moeller,['U'],['U'],43,RAV,#A6977B,166,151,123,Dizzy SpellRAV5
215,Drake Familiar,Darrell Riche,['U'],['U'],44,RAV,#3F4273,63,66,115,Drake FamiliarRAV1
216,Drake Familiar,Darrell Riche,['U'],['U'],44,RAV,#C9DBF2,201,219,242,Drake FamiliarRAV2
217,Drake Familiar,Darrell Riche,['U'],['U'],44,RAV,#80BFAD,128,191,173,Drake FamiliarRAV3
218,Drake Familiar,Darrell Riche,['U'],['U'],44,RAV,#F2DF80,242,223,128,Drake FamiliarRAV4
219,Drake Familiar,Darrell Riche,['U'],['U'],44,RAV,#BF771F,191,119,31,Drake FamiliarRAV5
220,Dream Leash,Alex Horley-Orlandelli,['U'],['U'],45,RAV,#4E4BA6,78,75,166,Dream LeashRAV1
221,Dream Leash,Alex Horley-Orlandelli,['U'],['U'],45,RAV,#6976BF,105,118,191,Dream LeashRAV2
222,Dream Leash,Alex Horley-Orlandelli,['U'],['U'],45,RAV,#CED3F2,206,211,242,Dream LeashRAV3
223,Dream Leash,Alex Horley-Orlandelli,['U'],['U'],45,RAV,#8C745E,140,116,94,Dream LeashRAV4
224,Dream Leash,Alex Horley-Orlandelli,['U'],['U'],45,RAV,#401F13,64,31,19,Dream LeashRAV5
225,Drift of Phantasms,Michael Phillippi,['U'],['U'],46,RAV,#2A1D59,42,29,89,Drift of PhantasmsRAV1
226,Drift of Phantasms,Michael Phillippi,['U'],['U'],46,RAV,#221A40,34,26,64,Drift of PhantasmsRAV2
227,Drift of Phantasms,Michael Phillippi,['U'],['U'],46,RAV,#161426,22,20,38,Drift of PhantasmsRAV3
228,Drift of Phantasms,Michael Phillippi,['U'],['U'],46,RAV,#656B8C,101,107,140,Drift of PhantasmsRAV4
229,Drift of Phantasms,Michael Phillippi,['U'],['U'],46,RAV,#BDD9F2,189,217,242,Drift of PhantasmsRAV5
230,Ethereal Usher,Mark A. Nelson,['U'],['U'],47,RAV,#312F73,49,47,115,Ethereal UsherRAV1
231,Ethereal Usher,Mark A. Nelson,['U'],['U'],47,RAV,#A3A646,163,166,70,Ethereal UsherRAV2
232,Ethereal Usher,Mark A. Nelson,['U'],['U'],47,RAV,#D9D0A3,217,208,163,Ethereal UsherRAV3
233,Ethereal Usher,Mark A. Nelson,['U'],['U'],47,RAV,#734F24,115,79,36,Ethereal UsherRAV4
