name,artist,colourid,colour,collectornum,expansion,hexval
Faith's Fetters,Chippy,['W'],['W'],16,RAV,"#090D07
#A6A053
#8C8146
#403925
#BF5B21"
Festival of the Guildpact,Alex Horley-Orlandelli,['W'],['W'],17,RAV,"#7C568C
#8E90BF
#99D0F2
#F2A679
#A64029"
Flickerform,Ron Spears,['W'],['W'],18,RAV,"#496D8C
#CBD9AD
#D9C148
#8C5D23
#8C4014"
Gate Hound,Ralph Horsley,['W'],['W'],19,RAV,"#BFAF5E
#BF8F54
#A66B38
#593E25
#261C14"
Ghosts of the Innocent,Kev Walker,['W'],['W'],20,RAV,"#121526
#BCBF56
#D6D97E
#A69B63
#F2EBC9"
Hour of Reckoning,Randy Gallegos,['W'],['W'],21,RAV,"#ECD8F2
#6258A6
#8280BF
#F2E5BD
#A67951"
Hunted Lammasu,Mark Zug,['W'],['W'],22,RAV,"#A68A37
#BFB8AA
#BFA380
#8C715A
#40372F"
Leave No Trace,Pat Lee,['W'],['W'],23,RAV,"#D9CF9C
#F2ECCE
#A68F65
#261B0E
#8C7354"
Light of Sanction,Michael Phillippi,['W'],['W'],24,RAV,"#4E7329
#D9D382
#D9AF62
#A67A44
#59381B"
Loxodon Gatekeeper,Carl Critchlow,['W'],['W'],25,RAV,"#F2E9BD
#F2C166
#D99F59
#8C7B65
#26201D"
Nightguard Patrol,Dany Orizio,['W'],['W'],26,RAV,"#8C5178
#513259
#D9B596
#BF5841
#73261F"
Oathsworn Giant,Daren Bader,['W'],['W'],27,RAV,"#F2C46D
#F2B872
#D96A29
#59210C
#BF4B21"
Sandsower,Kev Walker,['W'],['W'],28,RAV,"#635873
#7E77A6
#9E99BF
#D5DCF2
#261B0E"
Screeching Griffin,Tim Hildebrandt,"['R', 'W']",['W'],29,RAV,"#592E3A
#D98D62
#D9704A
#BF3F34
#8C3030"
Seed Spark,Jeff Miracola,"['G', 'W']",['W'],30,RAV,"#BCBF65
#BF7534
#D9601A
#261207
#A6411C"
Suppression Field,John Avon,['W'],['W'],31,RAV,"#282C40
#394873
#7292A6
#B8D5D9
#A7D9D9"
Three Dreams,Shishizaru,['W'],['W'],32,RAV,"#A64166
#8688A6
#BBD8F2
#A67449
#8C7870"
Twilight Drover,Dave Allsop,['W'],['W'],33,RAV,"#4960A6
#2A3659
#3B568C
#9CBCD9
#9FB9BF"
Veteran Armorer,Ralph Horsley,['W'],['W'],34,RAV,"#D9B95B
#D9B26A
#261C14
#8C5230
#592A19"
Votary of the Conclave,Alan Pollack,"['G', 'W']",['W'],35,RAV,"#F2C84B
#D9A23D
#BF7D2C
#8C7C6D
#733E1F"
Wojek Apothecary,Keith Garletts,['W'],['W'],36,RAV,"#5D4D73
#403521
#D9985F
#A61F12
#BF5349"
Wojek Siren,Zoltan Boros & Gabor Szikszai,['W'],['W'],37,RAV,"#F2D888
#D9631E
#BF2C0B
#73200E
#40160D"
Belltower Sphinx,Jim Nelson,['U'],['U'],38,RAV,"#202840
#404959
#A69E8F
#A6A29F
#0D0D0D"
Cerulean Sphinx,Jim Murray,['U'],['U'],39,RAV,"#9488BF
#DFDCF2
#F2C572
#F2B66D
#592816"
Compulsive Research,Michael Sutfin,['U'],['U'],40,RAV,"#5684BF
#BF9D36
#D9A566
#A62424
#591818"
Convolute,Dany Orizio,['U'],['U'],41,RAV,"#5872A6
#9AC1D9
#D9D04E
#BFBA6B
#8C6535"
Copy Enchantment,Joel Thomas,['U'],['U'],42,RAV,"#948EBF
#BDB8D9
#3C3B59
#252617
#D9C27E"
Dizzy Spell,Christopher Moeller,['U'],['U'],43,RAV,"#919CD9
#BBC8F2
#D5DCF2
#262014
#A6977B"
Drake Familiar,Darrell Riche,['U'],['U'],44,RAV,"#3F4273
#C9DBF2
#80BFAD
#F2DF80
#BF771F"
Dream Leash,Alex Horley-Orlandelli,['U'],['U'],45,RAV,"#4E4BA6
#6976BF
#CED3F2
#8C745E
#401F13"
Drift of Phantasms,Michael Phillippi,['U'],['U'],46,RAV,"#2A1D59
#221A40
#161426
#656B8C
#BDD9F2"
Ethereal Usher,Mark A. Nelson,['U'],['U'],47,RAV,"#312F73
#A3A646
#D9D0A3
#734F24
#402116"
Eye of the Storm,Hideaki Takamura,['U'],['U'],48,RAV,"#BF6BA9
#675DA6
#7E9CD9
#F27052
#F24738"
Flight of Fancy,Glen Angus,['U'],['U'],49,RAV,"#6C91D9
#6C9BD9
#91C5F2
#D5D971
#A6550F"
Flow of Ideas,Dan Scott,['U'],['U'],50,RAV,"#96B9D9
#F2CB57
#F2B33D
#8C3C2A
#591B1B"
Followed Footsteps,Glen Angus,['U'],['U'],51,RAV,"#446EA6
#435773
#77B3D9
#BDE3F2
#A66038"
Grayscaled Gharial,Chris Dien,['U'],['U'],52,RAV,"#27498C
#2B558C
#84A4BF
#344B59
#91A665"
Grozoth,Cyril Van Der Haegen,['U'],['U'],53,RAV,"#25261A
#D9CBA3
#D9D2C5
#73322C
#BF6060"
Halcyon Glaze,John Avon,['U'],['U'],54,RAV,"#C1A9D9
#675DA6
#38358C
#0C0D07
#F2F2F2"
Hunted Phantasm,Justin Sweet,['U'],['U'],55,RAV,"#838C7D
#D9B855
#F2E4BB
#BF7C2A
#734D1F"
Induce Paranoia,Jim Murray,"['B', 'U']",['U'],56,RAV,"#591B20
#362D73
#F2C12E
#D9751E
#A63D17"
Lore Broker,Alan Pollack,['U'],['U'],57,RAV,"#9ABF80
#8FA677
#A6813C
#733917
#A63C24"
Mark of Eviction,Tsutomu Kawade,['U'],['U'],58,RAV,"#D9C14A
#D9BA5F
#BF935E
#A62F24
#731919"
Mnemonic Nexus,Stephen Tappin,['U'],['U'],59,RAV,"#D9D5F2
#4946A6
#423F8C
#7580BF
#73551F"
Muddle the Mixture,Luca Zontini,['U'],['U'],60,RAV,"#F2B544
#D98D30
#BF5A1F
#D92818
#A65E58"
Peel from Reality,Puddnhead,['U'],['U'],61,RAV,"#F2DFEB
#BF8AB6
#2A398C
#1D2659
#2953A6"
Quickchange,Christopher Moeller,['U'],['U'],62,RAV,"#A0A3D9
#35428C
#ADBF21
#97A626
#D95032"
Remand,Mark A. Nelson,['U'],['U'],63,RAV,"#B6D0F2
#BFAB49
#595127
#A69B63
#A6431F"
Snapping Drake,Dave Dorman,['U'],['U'],64,RAV,"#D4B4D9
#A884BF
#D9A036
#8C612B
#D9751E"
Spawnbroker,Wayne England,['U'],['U'],65,RAV,"#E3DCF2
#A199BF
#6E65A6
#A68241
#D95A4E"
Stasis Cell,Mark A. Nelson,['U'],['U'],66,RAV,"#D4D941
#F2A74B
#F28241
#F25A38
#8C3D35"
Surveilling Sprite,Terese Nielsen,['U'],['U'],67,RAV,"#593257
#684073
#8C8668
#D9B855
#261C14"
Tattered Drake,Glenn Fabry,"['B', 'U']",['U'],68,RAV,"#80B2F2
#AECCF2
#F2D272
#BF8450
#D9644A"
Telling Time,Scott M. Fischer,['U'],['U'],69,RAV,"#404373
#303E8C
#F2DF80
#F2E7AE
#BF6550"
Terraformer,Luca Zontini,['U'],['U'],70,RAV,"#A6498D
#F2AE2E
#D9751E
#D95323
#A6281C"
Tidewater Minion,Tomas Giorello,['U'],['U'],71,RAV,"#BFAA84
#593C18
#D9A76A
#A68263
#40180F"
Tunnel Vision,Dany Orizio,['U'],['U'],72,RAV,"#57568C
#323459
#BF8049
#D9BCA3
#732C1D"
Vedalken Dismisser,Dan Scott,['U'],['U'],73,RAV,"#847BA6
#2E2D59
#F2E966
#D9BD89
#8C7251"
Vedalken Entrancer,Dan Scott,['U'],['U'],74,RAV,"#8C656C
#F2D649
#F2C572
#D98032
#BF7D56"
Wizened Snitches,Greg Staples,['U'],['U'],75,RAV,"#F2C12E
#F2AC29
#BF6B21
#8C2C16
#401910"
Zephyr Spirit,Tomas Giorello,['U'],['U'],76,RAV,"#A6976A
#BF5B21
#D98555
#A6431F
#593831"
Blood Funnel,Thomas M. Baxa,['B'],['B'],77,RAV,"#7E72A6
#232617
#D9D273
#D9501E
#8C2F1B"
Brainspoil,Tomas Giorello,['B'],['B'],78,RAV,"#8AA624
#BFA41B
#A68626
#D98032
#A64521"
Carrion Howler,John Zeleznik,['B'],['B'],79,RAV,"#F2B33D
#F2A444
#D98943
#BF6545
#733939"
Clinging Darkness,Glen Angus,['B'],['B'],80,RAV,"#8CBF84
#0D0D0B
#D9A74A
#733E1F
#8C342B"
Dark Confidant,Ron Spears,['B'],['B'],81,RAV,"#5D5F8C
#D9B64E
#D98D30
#D9814E
#73351F"
Darkblast,Randy Gallegos,['B'],['B'],82,RAV,"#8C5660
#F2C84B
#F2B950
#F27C38
#BF4D34"
Dimir House Guard,John Zeleznik,['B'],['B'],83,RAV,"#592C52
#77588C
#603FA6
#736D5C
#A66038"
Dimir Machinations,Greg Staples,['B'],['B'],84,RAV,"#BFAF60
#F2E6A7
#A69153
#594F2E
#A66329"
Disembowel,Chengo McFlingers,['B'],['B'],85,RAV,"#BFB854
#8C7D30
#D98C4A
#D97A43
#591E11"
Empty the Catacombs,Mark A. Nelson,['B'],['B'],86,RAV,"#6C6AA6
#365B73
#8AB0BF
#0A0D0A
#D9D59C"
Golgari Thug,Kev Walker,['B'],['B'],87,RAV,"#F2F0C9
#D9C077
#BFA36F
#736049
#592E1E"
Helldozer,Zoltan Boros & Gabor Szikszai,['B'],['B'],88,RAV,"#223459
#37538C
#C9DFF2
#8C862B
#D9D052"
Hex,Michael Sutfin,['B'],['B'],89,RAV,"#A67E4E
#BF5E26
#A6381F
#592418
#A67B7B"
Hunted Horror,Paolo Parente,['B'],['B'],90,RAV,"#8C687F
#363340
#89CAD9
#9FBFA1
#BFB6A4"
Infectious Host,rk post,['B'],['B'],91,RAV,"#BF7582
#F2D680
#D99A4E
#D96E30
#BF6854"
Keening Banshee,Robert Bliss,['B'],['B'],92,RAV,"#F0F0F2
#27538C
#5483BF
#183B59
#070D05"
Last Gasp,Thomas M. Baxa,['B'],['B'],93,RAV,"#4A548C
#222940
#BF9E3B
#A67233
#402C1A"
Mausoleum Turnkey,Darrell Riche,['B'],['B'],94,RAV,"#778C4A
#637340
#A66124
#BF452A
#401713"
Moonlight Bargain,Nick Percival,['B'],['B'],95,RAV,"#64798C
#C2D9BF
#594022
#BFA07A
#402015"
Mortipede,Dave Dorman,"['B', 'G']",['B'],96,RAV,"#437353
#BF9850
#A66F3F
#8C3420
#401612"
Necromantic Thirst,Brandon Kitkouski,['B'],['B'],97,RAV,"#F2DE77
#BF9A2C
#8C6620
#402C13
#BF471B"
Necroplasm,rk post,['B'],['B'],98,RAV,"#96A686
#F2C879
#BFAE99
#8C5F37
#402B19"
Netherborn Phalanx,Christopher Rush,['B'],['B'],99,RAV,"#3747A6
#21401C
#85BF4B
#D9CF48
#F2DF80"
Nightmare Void,Chippy,['B'],['B'],100,RAV,"#1C3940
#81A65D
#0B0D08
#808C54
#F2E088"
Ribbons of Night,Ron Spears,"['B', 'U']",['B'],101,RAV,"#3E3B8C
#383B73
#F2BF27
#D9B166
#BF391B"
Roofstalker Wight,Puddnhead,"['B', 'U']",['B'],102,RAV,"#60A68C
#2A5943
#ADD9C5
#9EBF56
#0C0D07"
Sadistic Augermage,Nick Percival,['B'],['B'],103,RAV,"#73486C
#172621
#587345
#878C5E
#BDBF7A"
Sewerdreg,Joel Thomas,['B'],['B'],104,RAV,"#242F73
#4971A6
#ADD4D9
#BF612A
#592014"
Shred Memory,Hideaki Takamura,['B'],['B'],105,RAV,"#4D308C
#7D6BBF
#252859
#F2D888
#BF3434"
Sins of the Past,Jeremy Jarvis,['B'],['B'],106,RAV,"#F2C53D
#F2E1AC
#D99E30
#A66E29
#59381B"
Stinkweed Imp,"Edward P. Beard, Jr.",['B'],['B'],107,RAV,"#8C3F78
#D3A7D9
#8ABF88
#507340
#B8D9A9"
Strands of Undeath,Dave Allsop,['B'],['B'],108,RAV,"#615573
#D6D989
#F2EEB6
#BFAF8F
#D95B5B"
Thoughtpicker Witch,Pete Venters,['B'],['B'],109,RAV,"#D1D9C1
#72735D
#A6261B
#8C1F1F
#401313"
Undercity Shade,Dana Knutson,['B'],['B'],110,RAV,"#3B2E8C
#292D73
#0D1026
#1D2C59
#5BA691"
Vigor Mortis,Dan Scott,"['B', 'G']",['B'],111,RAV,"#9FA668
#D0D98B
#F2EFBB
#403618
#A6351C"
Vindictive Mob,Wayne Reynolds,['B'],['B'],112,RAV,"#0C0D0A
#D9B64E
#D9933D
#D96E30
#D95525"
Woebringer Demon,Daren Bader,['B'],['B'],113,RAV,"#F2CD5C
#BFA450
#BFA169
#734D1F
#BF5A50"
Barbarian Riftcutter,Carl Critchlow,['R'],['R'],114,RAV,"#F2EDA7
#F2EDD5
#D9985F
#BF522A
#40180F"
Blockbuster,Dave Dorman,['R'],['R'],115,RAV,"#F2CB57
#F2A03D
#F27127
#D93814
#260101"
Breath of Fury,Kev Walker,['R'],['R'],116,RAV,"#F2C48D
#A6774E
#A6583C
#593325
#D9665B"
Char,Adam Rex,['R'],['R'],117,RAV,"#F2D64B
#F2911B
#D95C14
#D93B18
#591C0E"
Cleansing Beam,Pat Lee,['R'],['R'],118,RAV,"#3B4859
#BFB745
#73651F
#403916
#D9CA82"
Coalhauler Swine,Daren Bader,['R'],['R'],119,RAV,"#F2C230
#736F68
#F29A2E
#D9501E
#BF2626"
Dogpile,Jeff Miracola,['R'],['R'],120,RAV,"#D9CE96
#BF9039
#8C501C
#401818
#8C3E3E"
Excruciator,Paolo Parente,['R'],['R'],121,RAV,"#A68660
#D9BCA3
#A68776
#8C4F49
#402727"
Fiery Conclusion,Paolo Parente,['R'],['R'],122,RAV,"#F2D06B
#F2BF5E
#F29C50
#D97941
#BF5934"
Flame Fusillade,Dany Orizio,['R'],['R'],123,RAV,"#D9AA52
#D98D30
#8C4F2B
#BF3E21
#401713"
Flash Conscription,Stephen Tappin,"['R', 'W']",['R'],124,RAV,"#F2C84B
#F2B138
#D98D30
#8C5B1F
#F27329"
Frenzied Goblin,Carl Critchlow,['R'],['R'],125,RAV,"#D9C666
#A68C41
#26150F
#8C3420
#732B1A"
Galvanic Arc,Michael Sutfin,['R'],['R'],126,RAV,"#D9A87E
#D97B59
#A62317
#260101
#BF4949"
Goblin Fire Fiend,Paolo Parente,['R'],['R'],127,RAV,"#A69129
#73651F
#D9731A
#733119
#735D5D"
Goblin Spelunkers,Glenn Fabry,['R'],['R'],128,RAV,"#6F87A6
#EFF285
#D9B341
#A65C32
#8C2C23"
Greater Forgeling,Marcelo Vignali,['R'],['R'],129,RAV,"#F2E63D
#F2C335
#F29829
#D9631E
#A63117"
Hammerfist Giant,Carl Critchlow,['R'],['R'],130,RAV,"#D9AB73
#A67246
#D9A491
#D9857E
#8C5656"
Hunted Dragon,Mark Zug,['R'],['R'],131,RAV,"#A6728A
#F2CC85
#F2C791
#D99F7E
#BF472C"
Incite Hysteria,Paolo Parente,['R'],['R'],132,RAV,"#8C3041
#D9BE6C
#BFA065
#A68358
#591919"
Indentured Oaf,Glenn Fabry,['R'],['R'],133,RAV,"#327337
#B4BFA3
#A69B65
#A62626
#591515"
Instill Furor,Jim Nelson,['R'],['R'],134,RAV,"#8C4D64
#F2C572
#D97C2B
#BF6836
#A65149"
Mindmoil,Alex Horley-Orlandelli,['R'],['R'],135,RAV,"#A3A65B
#F29544
#BF5934
#733224
#D93829"
Molten Sentry,Kev Walker,['R'],['R'],136,RAV,"#F2CF66
#F2C166
#D99255
#A65644
#402222"
Ordruun Commando,Stephen Tappin,"['R', 'W']",['R'],137,RAV,"#F2CD5E
#D98D30
#D96725
#BF3E21
#731E16"
Rain of Embers,Tsutomu Kawade,['R'],['R'],138,RAV,"#D5D962
#A69F44
#D9D5A0
#8C742A
#59451E"
Reroute,Christopher Rush,['R'],['R'],139,RAV,"#42591E
#C8D94A
#F2D750
#F2CA50
#D99441"
Sabertooth Alley Cat,Carl Critchlow,['R'],['R'],140,RAV,"#A65B6F
#A64974
#F2E7C4
#D98C4A
#BF5934"
Seismic Spike,John Avon,['R'],['R'],141,RAV,"#F2D857
#F2B33D
#BFA27E
#A65729
#591D0F"
Sell-Sword Brute,Jeff Miracola,['R'],['R'],142,RAV,"#274073
#BF5A1F
#BF7B54
#BF2E21
#8C241B"
Smash,Paolo Parente,['R'],['R'],143,RAV,"#07090D
#71733C
#595736
#BFBDA3
#8C501B"
Sparkmage Apprentice,Mark Poole,['R'],['R'],144,RAV,"#F2C12E
#D96523
#D9411E
#8C2C23
#401010"
Stoneshaker Shaman,Jeff Miracola,['R'],['R'],145,RAV,"#F2E7AC
#F2CA52
#BF6A1F
#8C441B
#BF2E21"
Surge of Zeal,Justin Sweet,['R'],['R'],146,RAV,"#F2BF5E
#D98B48
#BF6E3F
#A63C24
#401B13"
Torpid Moloch,Paolo Parente,['R'],['R'],147,RAV,"#A62940
#745D8C
#A6705D
#261616
#593939"
Viashino Fangtail,Alex Horley-Orlandelli,['R'],['R'],148,RAV,"#A65D63
#F2D338
#F2C12E
#D98F4E
#D95E32"
Viashino Slasher,Glenn Fabry,['R'],['R'],149,RAV,"#1F4373
#4A88D9
#63B0F2
#A69021
#BF7C2A"
Warp World,Ron Spencer,['R'],['R'],150,RAV,"#D9B23D
#D98F4E
#BF6430
#A64029
#592418"
War-Torch Goblin,Alex Horley-Orlandelli,['R'],['R'],151,RAV,"#6A4EA6
#F2C029
#F2AC29
#D9631E
#BF2C1F"
Wojek Embermage,Luca Zontini,['R'],['R'],152,RAV,"#F2CB57
#D9A443
#BF7839
#73351F
#D94625"
Birds of Paradise,Marcelo Vignali,['G'],['G'],153,RAV,"#D97EB0
#D9B4D6
#F2D06B
#F2C48D
#D9814E"
Bramble Elemental,Tomas Giorello,['G'],['G'],154,RAV,"#593942
#403E27
#BFAB45
#D9BD6A
#BF6849"
Carven Caryatid,Jim Nelson,['G'],['G'],155,RAV,"#9160A6
#98A633
#F2EDA2
#D98E32
#8C3A1C"
Chord of Calling,Heather Hudson,['G'],['G'],156,RAV,"#724C73
#698C58
#CCD96A
#F2C12E
#D9923B"
Civic Wayfinder,Cyril Van Der Haegen,['G'],['G'],157,RAV,"#314026
#26261C
#BF946F
#8C3730
#401515"
Doubling Season,Wayne Reynolds,['G'],['G'],158,RAV,"#C1D9C2
#32401E
#657332
#F2DF7E
#BFA041"
Dowsing Shaman,Wayne Reynolds,['G'],['G'],159,RAV,"#3F528C
#6077A6
#707322
#F2DC6B
#732A19"
Dryad's Caress,Randy Gallegos,"['G', 'W']",['G'],160,RAV,"#F2E8B3
#F2C335
#D99923
#BF6D24
#8C3A1C"
Elves of Deep Shadow,Justin Sweet,"['B', 'G']",['G'],161,RAV,"#BFA450
#F2DEA0
#F2AB27
#D9851E
#8C391B"
Elvish Skysweeper,Mark Tedin,['G'],['G'],162,RAV,"#5A69BF
#7E94D9
#91A9D9
#708C68
#B4BF60"
Farseek,Martina Pilcerova,['G'],['G'],163,RAV,"#C5D92B
#D9D05B
#8C7B26
#F2E394
#A67232"
Fists of Ironwood,Glen Angus,['G'],['G'],164,RAV,"#3E5931
#66A638
#4F732C
#B8D943
#EEF26B"
Gather Courage,Brian Despain,['G'],['G'],165,RAV,"#BFB169
#D9CFA0
#594A1B
#8C7735
#260D08"
Golgari Brownscale,Carl Critchlow,['G'],['G'],166,RAV,"#D9D26C
#736F3D
#F2E8B3
#BFAB6F
#261F11"
Golgari Grave-Troll,Greg Hildebrandt,['G'],['G'],167,RAV,"#8C495B
#4A548C
#4D5D8C
#D9D48F
#F2E1AE"
Goliath Spider,Alan Pollack,['G'],['G'],168,RAV,"#495925
#8A8C4A
#D9B95B
#A6431F
#A63126"
Greater Mossdog,Chippy,['G'],['G'],169,RAV,"#0D0D0B
#736522
#594B22
#BFA556
#BF6430"
Hunted Troll,Greg Staples,['G'],['G'],170,RAV,"#D9A13B
#BF7636
#8C4820
#BF4B21
#592918"
Ivy Dancer,Terese Nielsen,['G'],['G'],171,RAV,"#42592A
#F2DA91
#F2D6A2
#A64826
#592E1E"
Life from the Loam,Terese Nielsen,['G'],['G'],172,RAV,"#8FBF60
#5D732F
#BBBF3B
#26261C
#8C876D"
Moldervine Cloak,Wayne England,['G'],['G'],173,RAV,"#232615
#CBD95F
#EFF285
#BDBF73
#A6A272"
Nullmage Shepherd,Stephen Tappin,['G'],['G'],174,RAV,"#48736B
#14261B
#88BF8B
#B2D98B
#A68E80"
Overwhelm,Wayne Reynolds,['G'],['G'],175,RAV,"#99A63C
#EEF272
#F2EB8D
#8C8A64
#F2EFC2"
Perilous Forays,Chris Dien,['G'],['G'],176,RAV,"#D9AC59
#D9BB84
#BF612A
#8C4F2B
#402515"
Primordial Sage,Justin Sweet,['G'],['G'],177,RAV,"#B6DBF2
#9CA656
#707326
#59551E
#59381C"
Recollect,Pete Venters,['G'],['G'],178,RAV,"#F2E749
#F2EB80
#F2B441
#D98032
#73341D"
Rolling Spoil,Ron Spencer,"['B', 'G']",['G'],179,RAV,"#9A9DD9
#D4D952
#D6D979
#A69232
#594F1B"
Root-Kin Ally,Arnie Swekel,['G'],['G'],180,RAV,"#4D7332
#9CBF50
#A4BF69
#CDD9A0
#F1F2D5"
Scatter the Seeds,Rob Alexander,['G'],['G'],181,RAV,"#1B1A26
#CAD959
#9EA660
#555936
#EFF28D"
Scion of the Wild,Kev Walker,['G'],['G'],182,RAV,"#32401E
#A7BF50
#CFD984
#70732F
#D9D59A"
Siege Wurm,Carl Critchlow,['G'],['G'],183,RAV,"#A69D21
#F2E966
#F2EFBD
#F2DC6D
#BF8136"
Stone-Seeder Hierophant,William Simpson,['G'],['G'],184,RAV,"#A7AED9
#93A651
#BFA065
#8C5627
#A64724"
Sundering Vitae,Shishizaru,['G'],['G'],185,RAV,"#9CBF4E
#F2DE77
#F2C572
#F28B50
#F24C27"
Transluminant,Greg Hildebrandt,"['G', 'W']",['G'],186,RAV,"#88A649
#F2E85C
#F2DD72
#D97236
#BF472C"
Trophy Hunter,rk post,['G'],['G'],187,RAV,"#221A26
#D9AD2B
#A67D4B
#8C5B3E
#8C3232"
Ursapine,Jim Murray,['G'],['G'],188,RAV,"#C9CFF2
#D9D496
#F2D5BB
#A65A3F
#73392C"
Vinelasher Kudzu,Mark Tedin,['G'],['G'],189,RAV,"#1A402A
#27592F
#91BF8A
#6BA65B
#D9CA9C"
"Agrus Kos, Wojek Veteran",Donato Giancola,"['R', 'W']","['R', 'W']",190,RAV,"#F2CD13
#A69F7C
#F2BB16
#D99311
#592B02"
Autochthon Wurm,Michael Phillippi,"['G', 'W']","['G', 'W']",191,RAV,"#A2A641
#D9A648
#59451E
#8C6E35
#593122"
Bloodbond March,Jim Nelson,"['B', 'G']","['B', 'G']",192,RAV,"#4A5947
#7F8C72
#B7BF9B
#868C56
#252617"
Boros Swiftblade,Doug Chaffee,"['R', 'W']","['R', 'W']",193,RAV,"#402E59
#F2C777
#D98C4A
#D95829
#BF5349"
Brightflame,Dave Dorman,"['R', 'W']","['R', 'W']",194,RAV,"#F2D06B
#F2A649
#F2762E
#D95323
#73351F"
Chorus of the Conclave,Brian Despain,"['G', 'W']","['G', 'W']",195,RAV,"#26220B
#BFAA3F
#594622
#A6874E
#D9C49C"
"Circu, Dimir Lobotomist",Cyril Van Der Haegen,"['B', 'U']","['B', 'U']",196,RAV,"#BFA249
#D9B68B
#73441A
#26180C
#BF9169"
Clutch of the Undercity,Pete Venters,"['B', 'U']","['B', 'U']",197,RAV,"#A69E33
#594D27
#BFA169
#BFAE8E
#A64029"
Congregation at Dawn,Randy Gallegos,"['G', 'W']","['G', 'W']",198,RAV,"#71BBD9
#184022
#F2F0C9
#8C5B3E
#592D1D"
Consult the Necrosages,Paolo Parente,"['B', 'U']","['B', 'U']",199,RAV,"#605A8C
#474559
#40391A
#A6A081
#59554D"
Dark Heart of the Wood,Mark Tedin,"['B', 'G']","['B', 'G']",200,RAV,"#AB8EBF
#67428C
#65A681
#ADD9BD
#2F5936"
Dimir Cutpurse,Kev Walker,"['B', 'U']","['B', 'U']",201,RAV,"#1C1C26
#BFAE5A
#A69B63
#736C4D
#F2E3B3"
Dimir Doppelganger,Jim Murray,"['B', 'U']","['B', 'U']",202,RAV,"#99D0F2
#A6A085
#59381B
#BF7B54
#401E12"
Dimir Infiltrator,Jim Nelson,"['B', 'U']","['B', 'U']",203,RAV,"#7C83A6
#A3A65D
#8B8C58
#D9D37E
#0D0D0D"
Drooling Groodion,Kev Walker,"['B', 'G']","['B', 'G']",204,RAV,"#323159
#9896D9
#A9A7D9
#262840
#D8D9F2"
Firemane Angel,Matt Cavotta,"['R', 'W']","['R', 'W']",205,RAV,"#372F40
#F2BE5C
#D9843B
#BF613F
#8C423B"
Flame-Kin Zealot,Arnie Swekel,"['R', 'W']","['R', 'W']",206,RAV,"#F2C53D
#D98825
#BF3617
#8C2016
#401010"
Glare of Subdual,Zoltan Boros & Gabor Szikszai,"['G', 'W']","['G', 'W']",207,RAV,"#182614
#284017
#7FA644
#61731F
#D1D99A"
Glimpse the Unthinkable,Brandon Kitkouski,"['B', 'U']","['B', 'U']",208,RAV,"#F29422
#D9601A
#A63D17
#731810
#260E0B"
Golgari Germination,Thomas M. Baxa,"['B', 'G']","['B', 'G']",209,RAV,"#F2D338
#F2D272
#F2B138
#D97C2B
#8C471F"
Golgari Rotwurm,Wayne England,"['B', 'G']","['B', 'G']",210,RAV,"#424859
#63732C
#99A637
#C9D94E
#8C8561"
Grave-Shell Scarab,Pete Venters,"['B', 'G']","['B', 'G']",211,RAV,"#88BF8B
#F2F0C9
#BFAA69
#736140
#40311E"
Guardian of Vitu-Ghazi,Wayne Reynolds,"['G', 'W']","['G', 'W']",212,RAV,"#828C35
#545928
#D4D93D
#BBBF41
#D6D982"
